id,siCardNumber,twentyFourHour,weekDay,fourWeekCounter,twelveHourTimer,subSecond,origFromNode,radioMessageId,createdDate
4206,137,1,1,0,36000,0,1,2739,"2016-03-06 21:52:49.385061"
4453,137,1,1,0,36000,0,1,2863,"2016-03-06 21:59:49.966735"
4682,137,1,1,0,36000,0,1,2977,"2016-03-06 22:06:42.264163"
4908,137,1,1,0,36000,0,1,3090,"2016-03-06 22:12:59.689860"
2590,138,1,1,0,36000,0,1,1931,"2016-03-06 21:05:46.241177"
2795,138,1,1,0,36000,0,1,2034,"2016-03-06 21:11:57.706636"
3006,138,1,1,0,36000,0,1,2139,"2016-03-06 21:18:20.191848"
3233,138,1,1,0,36000,0,1,2253,"2016-03-06 21:25:01.949113"
3471,138,1,1,0,36000,0,1,2372,"2016-03-06 21:31:54.151948"
3722,138,1,1,0,36000,0,1,2497,"2016-03-06 21:38:57.566818"
3953,138,1,1,0,36000,0,1,2613,"2016-03-06 21:45:45.757275"
4205,138,1,1,0,36000,0,1,2739,"2016-03-06 21:52:49.363109"
4456,138,1,1,0,36000,0,1,2864,"2016-03-06 21:59:53.269889"
4668,138,1,1,0,36000,0,1,2970,"2016-03-06 22:06:17.302124"
2589,139,1,1,0,36000,0,1,1931,"2016-03-06 21:05:46.219048"
3005,139,1,1,0,36000,0,1,2139,"2016-03-06 21:18:20.170150"
3236,139,1,1,0,36000,0,1,2254,"2016-03-06 21:25:05.293823"
3474,139,1,1,0,36000,0,1,2373,"2016-03-06 21:31:57.498343"
3721,139,1,1,0,36000,0,1,2497,"2016-03-06 21:38:57.545423"
4208,139,1,1,0,36000,0,1,2740,"2016-03-06 21:52:52.759931"
4455,139,1,1,0,36000,0,1,2864,"2016-03-06 21:59:53.247230"
4667,139,1,1,0,36000,0,1,2970,"2016-03-06 22:06:17.280014"
4736,139,1,1,0,36000,0,1,3004,"2016-03-06 22:08:12.525659"
4858,139,1,1,0,36000,0,1,3065,"2016-03-06 22:11:36.197328"
2592,140,1,1,0,36000,0,1,1932,"2016-03-06 21:05:50.228224"
2798,140,1,1,0,36000,0,1,2035,"2016-03-06 21:12:01.117197"
3235,140,1,1,0,36000,0,1,2254,"2016-03-06 21:25:05.273567"
3473,140,1,1,0,36000,0,1,2373,"2016-03-06 21:31:57.478078"
3724,140,1,1,0,36000,0,1,2498,"2016-03-06 21:39:00.912562"
3956,140,1,1,0,36000,0,1,2614,"2016-03-06 21:45:49.226874"
4207,140,1,1,0,36000,0,1,2740,"2016-03-06 21:52:52.737162"
4458,140,1,1,0,36000,0,1,2865,"2016-03-06 21:59:56.651968"
4681,140,1,1,0,36000,0,1,2977,"2016-03-06 22:06:42.244422"
4811,140,1,1,0,36000,0,1,3042,"2016-03-06 22:10:19.336459"
2591,141,1,1,0,36000,0,1,1932,"2016-03-06 21:05:50.205599"
2797,141,1,1,0,36000,0,1,2035,"2016-03-06 21:12:01.093853"
3008,141,1,1,0,36000,0,1,2140,"2016-03-06 21:18:23.588519"
3238,141,1,1,0,36000,0,1,2255,"2016-03-06 21:25:08.709683"
3476,141,1,1,0,36000,0,1,2374,"2016-03-06 21:32:00.836542"
3723,141,1,1,0,36000,0,1,2498,"2016-03-06 21:39:00.889384"
3955,141,1,1,0,36000,0,1,2614,"2016-03-06 21:45:49.203748"
4210,141,1,1,0,36000,0,1,2741,"2016-03-06 21:52:56.025304"
4457,141,1,1,0,36000,0,1,2865,"2016-03-06 21:59:56.630465"
4670,141,1,1,0,36000,0,1,2971,"2016-03-06 22:06:21.194888"
2800,142,1,1,0,36000,0,1,2036,"2016-03-06 21:12:05.217246"
